category,subcategory,uniformat code,uniformat description,url
HVAC/Mechanical,Wireless Pneumatic Thermostats,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1736/wireless-pneumatic-thermostats/0?addon=False
Lighting and Ceiling Fans,Ceiling Fans,,,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/28/ceiling-fans/0?addon=False
Lighting and Ceiling Fans,Decorative Light Strings,,,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/65/decorative-light-strings/0?addon=False
Lighting and Ceiling Fans,Exterior Lighting,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1408/exterior-lighting/0?addon=False
Lighting and Ceiling Fans,Fluorescent Ballasts,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/102/fluorescent-ballasts/0?addon=False
Lighting and Ceiling Fans,Fluorescent Luminaires,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1410/fluorescent-luminaires/0?addon=False
Lighting and Ceiling Fans,Industrial Luminaires (High/Low Bay),D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1324/industrial-luminaires-highlow-bay/0?addon=False
Lighting and Ceiling Fans,LED Downlight Lamps for CFL Fixtures,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1759/led-downlight-lamps-cfl-fixtures/0?addon=False
Lighting and Ceiling Fans,LED Fixtures with Integrated Controls,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1738/led-fixtures-integrated-controls/0?addon=False
Lighting and Ceiling Fans,"LED Luminaires, Commercial and Industrial",D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1739/led-luminaires-commercial-industrial/0?addon=False
Lighting and Ceiling Fans,Light Bulbs,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1414/light-bulbs/0?addon=False
Lighting and Ceiling Fans,Light Fixtures,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/151/light-fixtures/0?addon=False
Lighting and Ceiling Fans,Linear LED Lighting Retrofits,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1757/linear-led-lighting-retrofits/0?addon=False
Lighting and Ceiling Fans,Suspended Fluorescent Luminaires,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1554/suspended-fluorescent-luminaires/0?addon=False
Lighting and Ceiling Fans,Wireless Advanced Lighting Controls,D502003,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-ceiling-fans/1737/wireless-advanced-lighting-controls/0?addon=False
Plumbing Systems,Bathroom Sink Faucets & Accessories (Residential),D201004,SINKS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems/11/bathroom-sink-faucets-accessories-residential/0?addon=False
Plumbing Systems,Catalyst-based Non-chemical Water Treatment,,,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems/1659/catalyst-based-non-chemical-water-treatment/0?addon=False
Plumbing Systems,Showerheads,D201005,SHOWERS/TUBS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems/239/showerheads/0?addon=False
Plumbing Systems,Toilets,D201001,WATERCLOSETS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems/255/toilets/0?addon=False
Plumbing Systems,Urinals,D201002,URINALS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems/259/urinals/0?addon=False
Plumbing Systems,Wastewater Systems Coatings,,,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems/1397/wastewater-systems-coatings/0?addon=False
Refrigeration Systems,Industrial Process Refrigeration Systems,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/14/refrigeration-systems/141/industrial-process-refrigeration-systems/0?addon=False
Refrigeration Systems,Very Low Temperature Refrigeration Systems,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/14/refrigeration-systems/263/low-temperature-refrigeration-systems/0?addon=False
Renewable Energy,Biomass,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/20/biomass/0?addon=False
Renewable Energy,Geothermal,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/111/geothermal/0?addon=False
Renewable Energy,Hydroelectric,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/135/hydroelectric/0?addon=False
Renewable Energy,Landfill Gas,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/144/landfill-gas/0?addon=False
Renewable Energy,Municipal Solid Waste,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/169/municipal-solid-waste/0?addon=False
Renewable Energy,"Ocean (Tidal, Wave, Current, or Thermal)",,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/175/ocean-tidal-wave-current-thermal/0?addon=False
Renewable Energy,Photovoltaic-Thermal (PV-T) Hybrid Solar Systems,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/1633/photovoltaic-thermal-pv-t-hybrid-solar-systems/0?addon=False
Renewable Energy,Solar Photovoltaic,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/245/solar-photovoltaic/0?addon=False
Renewable Energy,Wind,,,https://sftool.gov/greenprocurement/green-products/15/renewable-energy/271/wind/0?addon=False
