category,subcategory,uniformat code,uniformat description,url
Doors and Windows,Doors,B2030 ,EXTERIOR DOORS,https://sftool.gov/greenprocurement/green-products/26/doors-windows/76/doors/0?addon=False
Doors and Windows,Skylights,,,https://sftool.gov/greenprocurement/green-products/26/doors-windows/1591/skylights/0?addon=False
Doors and Windows,Storm Windows,B202001 ,WINDOWS,https://sftool.gov/greenprocurement/green-products/26/doors-windows/1827/storm-windows/0?addon=False
Doors and Windows,"Window, High R Value",B202001 ,WINDOWS,https://sftool.gov/greenprocurement/green-products/26/doors-windows/1578/window-high-r/0?addon=False
Doors and Windows,Windows,B202001 ,WINDOWS,https://sftool.gov/greenprocurement/green-products/26/doors-windows/272/windows/0?addon=False
HVAC/Mechanical,Air Conditioner Coil Cleaners,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1654/air-conditioner-coil-cleaners/0?addon=False
HVAC/Mechanical,"Air Conditioning, Central",D304008 ,AIR HANDLING UNITS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1322/air-conditioning-central/0?addon=False
HVAC/Mechanical,"Air Conditioning, Room",D305006,PACKAGE UNITS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/232/air-conditioning-room/0?addon=False
HVAC/Mechanical,Boilers,D302001,BOILERS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1321/boilers/0?addon=False
HVAC/Mechanical,Chillers,D303001 ,CHILLED WATER SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/34/chillers/0?addon=False
HVAC/Mechanical,Commercial Gas Water Heaters,D202003,DOMESTIC WATER EQUIPMENT,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/108/commercial-gas-water-heaters/0?addon=False
HVAC/Mechanical,Control Optimization System for Chiller Plants,D3060 ,CONTROLS & INSTRUMENTATION,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1758/control-optimization-system-chiller-plants/0?addon=False
HVAC/Mechanical,"Cooler, Indirect Evaporative",,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1581/cooler-indirect-evaporative/0?addon=False
HVAC/Mechanical,Ductless Heating and Cooling,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1597/ductless-heating-cooling/0?addon=False
HVAC/Mechanical,Furnaces,D302002,FURNACES,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/107/furnaces/0?addon=False
HVAC/Mechanical,"Heat Pumps, Air-Source",D303002,DIRECT EXPANSION SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/6/heat-pumps-air-source/0?addon=False
HVAC/Mechanical,"Heat Pumps, Geothermal or Ground-Source",,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/112/heat-pumps-geothermal-ground-source/0?addon=False
HVAC/Mechanical,Honeycomb Solar Thermal Collector,D301005,SOLAR SYSTEM,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1747/honeycomb-solar-thermal-collector/0?addon=False
HVAC/Mechanical,HVAC Maintenance Products,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1652/hvac-maintenance-products/0?addon=False
HVAC/Mechanical,Industrial Process Air Conditioning,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/140/industrial-process-air-conditioning/0?addon=False
HVAC/Mechanical,Light Commercial Heating and Cooling,D304008 ,AIR HANDLING UNITS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/150/light-commercial-heating-cooling/0?addon=False
HVAC/Mechanical,Low-emissivity (low-e) Window Film,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1756/low-emissivity-low-e-window-film/0?addon=False
HVAC/Mechanical,Non-Mechanical Heat Transfer Systems,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/126/non-mechanical-heat-transfer-systems/0?addon=False
HVAC/Mechanical,Non-Pressure Pipes,,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/173/non-pressure-pipes/0?addon=False
HVAC/Mechanical,Residential Water Heaters,D202003,DOMESTIC WATER EQUIPMENT,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1378/residential-water-heaters/0?addon=False
HVAC/Mechanical,Smart Thermostats,D306001,HVAC CONTROLS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1754/smart-thermostats/0?addon=False
HVAC/Mechanical,"Ventilation Fan Belts, Synchronous and Cogged",,,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/1580/ventilation-fan-belts-synchronous-cogged/0?addon=False
HVAC/Mechanical,Ventilation Fans,D304007,EXHAUST SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvacmechanical/262/ventilation-fans/0?addon=False
